B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GNDVI,NDVI,PSRI,SAVI,Top,Landcover
0.1125,0.0011,0.1462,0.05365,0.08135,0.07145,0.04025,0.07895,0.22345,0.28545,0.2635,0.326,0.0493,0.7461809680418328,0.6404579,0.7802048,-0.09570553,0.4948052015072406,2.0461862,Forest
0.1131,0.0011,0.1466,0.0564,0.082,0.0686,0.0401,0.0729,0.2089,0.277,0.2706,0.3137,0.0496,0.7282018418727224,0.64111954,0.77331823,-0.09085113,0.48067461787958726,2.137026,Forest
0.10845,9.0E-4,0.1264,0.0434,0.07945,0.0707,0.03995,0.0727,0.215,0.28495,0.2811,0.31745,0.0512,0.7216977128386003,0.63570786,0.776441,-0.09686565,0.485479344763918,1.787836,Forest
0.10845,0.0011,0.1531,0.0534,0.07785,0.0697,0.038,0.07975,0.26065,0.36375,0.3534,0.4153,0.05825,0.8903414796717529,0.71257734,0.8323406,-0.07633037,0.5936746177522183,2.1965566,Forest
0.1066,0.001,0.1287,0.0463,0.0806,0.069,0.0413,0.0688,0.1992,0.2748,0.2631,0.3117,0.0466,0.7078533915900098,0.6375098,0.76600564,-0.0888675,0.4754982281069096,1.8652174,Forest
0.1164,9.0E-4,0.1372,0.0522,0.08525,0.07165,0.0424,0.0701,0.19815,0.26795,0.25745,0.3091,0.0507,0.721493304017276,0.62363756,0.75874823,-0.09462957,0.4698179736537408,1.914864,Forest
0.105,9.0E-4,0.1274,0.0479,0.0753,0.0646,0.0349,0.0659,0.2041,0.2759,0.2608,0.316,0.0423,0.7315359805242684,0.660536,0.80108297,-0.09398734,0.4955341611107167,1.9721363,Forest
0.10825,9.0E-4,0.139,0.0531,0.08155,0.0732,0.04205,0.07745,0.21645,0.30005,0.2829,0.3394,0.04715,0.7584878692959801,0.6451769,0.7795255,-0.09177962,0.5060128117275461,1.8989071,Forest
0.1078,9.0E-4,0.1536,0.0583,0.0805,0.0722,0.0425,0.0773,0.23195,0.32105,0.31315,0.36275,0.0469,0.7895709877448861,0.6680078,0.7902529,-0.08187457,0.5306545076866803,2.127424,Forest
0.105,0.001,0.1178,0.0422,0.0745,0.061,0.0327,0.0549,0.1873,0.2508,0.2256,0.2792,0.0434,0.6722849477486613,0.6413874,0.7903174,-0.101361044,0.4554132160298634,1.9311475,Forest
0.11218,0.001,0.15186363,0.0523,0.0828,0.07166,0.0414,0.0778,0.2321,0.31875,0.3053,0.36276665,0.04925,0.8113953673826553,0.6700939,0.795134,-0.083414495,0.5331428418300744,2.1192248,Forest
0.1102,0.001,0.1612,0.059525,0.08275,0.07327391,0.04192857,0.07879231,0.24116667,0.3315,0.3216,0.37756154,0.0484,0.832003764268077,0.67494166,0.80009747,-0.083020486,0.5475311234943695,2.1999645,Forest
0.1093,0.001,0.11045,0.0399,0.0782,0.0619,0.03395,0.0579,0.18495,0.24405,0.226,0.27825,0.04725,0.6820592963019453,0.63604295,0.78251123,-0.100449234,0.4511819838688786,1.7843295,Forest
0.1095,0.001,0.1581,0.0575,0.0807,0.0701,0.0397,0.0758,0.2305,0.3019,0.2917,0.3438,0.0475,0.7783465768373153,0.66127086,0.7929596,-0.0884235,0.5162988174094539,2.2553494,Forest
0.11335,0.001,0.15545,0.05885,0.08555,0.07985,0.04405,0.0834,0.2625,0.34295,0.3433,0.39085,0.0521,0.8554303302011123,0.6607181,0.7974247,-0.09159525,0.5564231531272814,1.9467752,Forest
0.1047,8.0E-4,0.1346,0.0479,0.0764,0.0628,0.0343,0.0669,0.2237,0.3084,0.2893,0.3481,0.0494,0.7997757123885469,0.69432956,0.8206067,-0.081873015,0.5334315587340647,2.1433122,Forest
0.1099,9.0E-4,0.1381,0.0486,0.0809,0.0665,0.0376,0.0674,0.2099,0.2913,0.2826,0.3258,0.0413,0.762716348208672,0.6609737,0.7930655,-0.08870473,0.5006949301659731,2.0766916,Forest
0.1069,0.001,0.1262,0.0453,0.0752,0.0629,0.034,0.061,0.1976,0.2663,0.2433,0.3077,0.0444,0.7220111807527192,0.6605505,0.800995,-0.093922645,0.48776286631913873,2.0063593,Forest
0.1028,9.0E-4,0.1266,0.0434,0.0741,0.0641,0.0347,0.0646,0.1921,0.2578,0.2518,0.2937,0.0365,0.6843524165714302,0.6416993,0.7886724,-0.100102134,0.4689763547228941,1.975039,Forest
0.1095,9.0E-4,0.1385,0.0489,0.0795,0.0663,0.0362,0.0664,0.1987,0.2655,0.2492,0.2985,0.0402,0.7131980805110707,0.6365132,0.7836869,-0.10083751,0.4713669556156589,2.0889895,Forest
0.10795,9.0E-4,0.13355,0.049,0.0767,0.06565,0.037,0.06955,0.199,0.2763,0.26035,0.3125,0.0377,0.7180088686803716,0.6527833,0.7882689,-0.091680005,0.4864626239585413,2.0342727,Forest
0.1051,8.0E-4,0.1296,0.0472,0.0733,0.0617,0.0337,0.0588,0.1988,0.264,0.2595,0.3064,0.0376,0.7110079576137854,0.664765,0.801823,-0.091383815,0.4869063207711203,2.1004863,Forest
0.1037,6.0E-4,0.1093,0.0382,0.0732,0.0596,0.0326,0.0542,0.1726,0.2377,0.2246,0.2758,0.0374,0.6591500317009128,0.64460343,0.78858626,-0.09789702,0.4512617370378191,1.8338927,Forest
0.1057,9.0E-4,0.1387,0.0501,0.0772,0.0698,0.0359,0.0736,0.2303,0.3135,0.2911,0.3428,0.0596,0.7835477932522109,0.6616578,0.810404,-0.098891474,0.5238989309188342,1.987106,Forest
0.1092,0.001,0.1383,0.0466,0.0784,0.0645,0.03475,0.065,0.2148,0.2893,0.2709,0.3242,0.0469,0.7659839265414865,0.66812456,0.80637974,-0.09176433,0.5054718028205221,2.1441863,Forest
0.11895,0.001,0.13875,0.05065,0.0862,0.0724,0.04215,0.0713,0.2132,0.27965,0.27235,0.3225,0.04625,0.7545214653804345,0.63332486,0.7688194,-0.093798466,0.48635285238413883,1.9164364,Forest
0.1114,9.0E-4,0.12675,0.04445,0.08165,0.0699,0.04055,0.0696,0.18625,0.25275,0.23995,0.2902,0.0393,0.6775681541864454,0.6117745,0.75479966,-0.10113714,0.4507673703437761,1.8133049,Forest
0.1077,9.0E-4,0.13555,0.0493,0.07765,0.06695,0.0391,0.0671,0.20385,0.27035,0.2573,0.30825,0.04115,0.700564869176905,0.6431237,0.7748669,-0.09034874,0.4764560248730071,2.0246453,Forest
0.1099,9.0E-4,0.1242,0.0457,0.0787,0.0658,0.0383,0.0652,0.1846,0.2467,0.2331,0.286,0.0397,0.6690616566942487,0.6259238,0.76379895,-0.096153855,0.4507461042742316,1.887538,Forest
0.1087,9.0E-4,0.1243,0.0449,0.0768,0.063,0.0358,0.0609,0.1839,0.2562,0.24,0.2885,0.0424,0.6812790321967934,0.6415363,0.77921677,-0.094280764,0.459844733445359,1.9730159,Forest
0.1094,8.0E-4,0.1259,0.0435,0.0774,0.0658,0.0372,0.0663,0.1972,0.2654,0.2504,0.301,0.0376,0.698844963035307,0.64122134,0.78001183,-0.09501662,0.47208303358309206,1.9133737,Forest
0.105,8.0E-4,0.0978,0.0336,0.0747,0.0586,0.0337,0.0507,0.1373,0.1902,0.1794,0.2142,0.0355,0.5270688531704467,0.5703812,0.72811615,-0.1162465,0.36201364446462236,1.668942,Forest
0.10675,8.5E-4,0.10625,0.03755,0.0738,0.05765,0.0341,0.05525,0.1538,0.20815,0.18295,0.2292,0.03745,0.5540724772622937,0.5980478,0.74097985,-0.10274869,0.38340103042612406,1.8430183,Forest
0.1026,8.0E-4,0.1358,0.0473,0.0747,0.0663,0.0355,0.0681,0.214,0.297,0.2864,0.3459,0.0372,0.7770489941112101,0.6783115,0.8138437,-0.089043066,0.5282505069304791,2.0482657,Forest
0.1232,0.001,0.1578,0.0582,0.0941,0.0829,0.0522,0.0868,0.2398,0.3318,0.3055,0.377,0.0459,0.8248260367608136,0.63948685,0.7567568,-0.081432365,0.5243220000757968,1.9034982,Forest
0.1114,9.0E-4,0.1368,0.0508,0.0856,0.0717,0.0436,0.0717,0.1922,0.257,0.2536,0.2946,0.0399,0.6863925110498542,0.60851765,0.74216443,-0.09538356,0.44917681885296595,1.9079499,Forest
0.11415,9.0E-4,0.152,0.0569,0.08565,0.07455,0.044,0.07175,0.2072,0.2764,0.27015,0.3126,0.0385,0.7187775556238901,0.61487794,0.7532249,-0.097728744,0.4703478716667306,2.0389,Forest
